Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",61.191200,-55.499000,180.000000,top
"C2","1uF","C_0402_1005Metric",65.420000,-52.850000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",62.845200,-65.456000,90.000000,top
"C4","1uF","C_0402_1005Metric",61.620200,-65.461000,90.000000,top
"D1","LED_Pad","LED_1414",62.700000,-60.000000,-90.000000,top
"D2","D_Schottky","D_SOD-523",65.750000,-54.150000,180.000000,top
"J1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",52.880000,-60.000000,-90.000000,top
"J2","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",72.520000,-60.000000,90.000000,top
"L1","22uF","L_0603_1608Metric",64.160400,-55.753000,0.000000,top
"Q1","MMBT5551L","SOT-23",58.155800,-65.834500,-90.000000,top
"R1","10","R_0402_1005Metric",68.427600,-64.492600,-90.000000,top
"R2","24k","R_0402_1005Metric",65.660200,-67.481000,0.000000,top
"R3","590","R_0402_1005Metric",68.427600,-66.850800,90.000000,top
"R4","14k","R_0402_1005Metric",59.563000,-53.164200,90.000000,top
"R5","14k","R_0402_1005Metric",65.450000,-51.800000,180.000000,top
"R6","2k","R_0402_1005Metric",62.839600,-50.876200,180.000000,top
"U1","AP3012","SOT-23-5",62.356500,-53.197800,180.000000,top
"U2","AS321","SOT-23-5",65.657700,-64.931000,180.000000,top
