Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",65.200000,-53.665000,-90.000000,top
"C2","1uF","C_0402_1005Metric",60.330000,-54.630000,90.000000,top
"C3","10uF","C_0402_1005Metric",67.140000,-53.650000,90.000000,top
"C4","0.1uF","C_0402_1005Metric",63.150000,-64.950000,90.000000,top
"C5","10uF","C_0402_1005Metric",61.925000,-64.955000,90.000000,top
"J1","Conn_01x04","BOOMELE_SMD_SH_4PIN_RT",52.780000,-60.000000,90.000000,top
"J2","Conn_01x04","BOOMELE_SMD_SH_4PIN_RT",72.620000,-60.000000,-90.000000,top
"Q1","MMBT5551L","SOT-23",58.550000,-64.162500,-90.000000,top
"R1","100","R_0402_1005Metric",68.870000,-63.050000,-90.000000,top
"R2","10k","R_0402_1005Metric",65.965000,-66.975000,0.000000,top
"R3","10k","R_0402_1005Metric",68.880000,-66.120000,90.000000,top
"U1","LM2775DSG","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",62.825000,-54.740000,0.000000,top
"U2","LMV321","SOT-23-5",65.962500,-64.425000,180.000000,top
